"Attrition","Age","JobRole","Department","JobSatisfaction","WorkLifeBalance","YearsAtCompany","OverTime","Education","EnvironmentSatisfaction","JobInvolvement","RelationshipSatisfaction","Gender","YearsInCurrentRole","JobLevel","TotalWorkingYears","EducationField","EmployeeNumber","PerformanceRating"
"No",32,"Research Scientist","Research & Development",2,2,6,"Yes",2,1,4,4,"Male",2,1,7,"Life Sciences",21,3
"No",22,"Laboratory Technician","Research & Development",4,2,1,"Yes",2,4,4,2,"Male",0,1,1,"Medical",22,3
"No",53,"Manager","Sales",4,3,25,"No",4,1,2,3,"Female",8,4,31,"Life Sciences",23,3
"No",38,"Research Scientist","Research & Development",4,3,3,"Yes",3,4,3,3,"Male",2,1,6,"Life Sciences",24,3
"No",24,"Manufacturing Director","Research & Development",3,2,4,"No",2,1,4,4,"Female",2,2,5,"Other",26,3
"Yes",36,"Sales Representative","Sales",1,3,5,"No",4,3,2,2,"Male",3,1,10,"Life Sciences",27,4
"No",34,"Research Director","Research & Development",2,3,12,"No",4,1,3,3,"Female",6,3,13,"Life Sciences",28,3
"No",21,"Research Scientist","Research & Development",4,3,0,"No",2,3,3,4,"Male",0,1,0,"Life Sciences",30,3
"Yes",34,"Research Scientist","Research & Development",1,3,4,"No",1,2,3,3,"Male",2,1,8,"Medical",31,3
"No",53,"Manager","Research & Development",3,2,14,"No",3,3,3,4,"Female",13,5,26,"Other",32,3
"Yes",32,"Research Scientist","Research & Development",1,3,10,"Yes",1,2,1,2,"Female",2,1,10,"Life Sciences",33,4
"No",42,"Sales Executive","Sales",2,3,9,"No",4,3,3,4,"Male",7,2,10,"Marketing",35,3
"No",44,"Healthcare Representative","Research & Development",4,3,22,"No",4,1,2,4,"Female",6,3,24,"Medical",36,3
"No",46,"Manager","Sales",1,2,2,"No",4,2,3,4,"Female",2,5,22,"Marketing",38,3
"No",33,"Laboratory Technician","Research & Development",4,3,1,"No",3,3,3,4,"Male",1,1,7,"Medical",39,3
"No",44,"Healthcare Representative","Research & Development",4,4,4,"Yes",4,4,3,4,"Male",2,2,9,"Other",40,3
"No",30,"Laboratory Technician","Research & Development",3,3,10,"No",2,4,2,1,"Male",0,1,10,"Medical",41,3
"Yes",39,"Sales Representative","Sales",4,4,1,"No",3,4,3,3,"Male",0,2,19,"Technical Degree",42,3
"Yes",24,"Research Scientist","Research & Development",4,2,2,"Yes",3,2,3,1,"Male",0,1,6,"Medical",45,3
"No",43,"Research Scientist","Research & Development",3,2,5,"No",2,4,4,4,"Female",3,1,6,"Medical",46,3
"Yes",50,"Sales Representative","Sales",3,3,3,"Yes",2,1,2,3,"Male",2,1,3,"Marketing",47,3
"No",35,"Sales Representative","Sales",4,3,2,"No",3,4,3,1,"Female",2,1,2,"Marketing",49,3
"No",36,"Research Scientist","Research & Development",1,4,1,"Yes",4,2,2,4,"Female",1,1,6,"Life Sciences",51,3
"No",33,"Sales Executive","Sales",1,3,5,"No",3,3,4,1,"Female",3,2,10,"Life Sciences",52,3
"No",35,"Laboratory Technician","Research & Development",4,3,1,"No",2,3,3,3,"Male",0,1,1,"Other",53,3
"No",27,"Laboratory Technician","Research & Development",1,3,1,"No",4,4,3,4,"Female",0,1,1,"Life Sciences",54,3
"Yes",26,"Laboratory Technician","Research & Development",3,2,1,"No",3,1,1,3,"Male",0,1,1,"Life Sciences",55,3
"No",27,"Sales Executive","Sales",3,3,9,"No",3,4,3,4,"Male",8,3,9,"Life Sciences",56,3
"No",30,"Laboratory Technician","Research & Development",4,3,12,"No",2,3,3,4,"Female",8,2,12,"Medical",57,4
"Yes",41,"Research Director","Research & Development",3,3,22,"No",3,2,3,4,"Female",15,5,23,"Technical Degree",58,3
"No",34,"Sales Executive","Sales",3,3,9,"No",4,2,3,3,"Male",5,2,10,"Marketing",60,4
"No",37,"Research Scientist","Research & Development",2,3,1,"No",2,2,3,1,"Male",0,1,8,"Life Sciences",61,4
"No",46,"Sales Executive","Sales",4,3,9,"Yes",4,1,3,3,"Male",6,2,14,"Marketing",62,4
"No",35,"Laboratory Technician","Research & Development",4,3,1,"No",1,4,4,4,"Male",0,1,1,"Life Sciences",63,3
"Yes",48,"Laboratory Technician","Research & Development",3,3,1,"Yes",2,1,2,4,"Male",0,3,23,"Life Sciences",64,3
"Yes",28,"Laboratory Technician","Research & Development",3,2,2,"Yes",4,3,3,3,"Male",2,1,2,"Technical Degree",65,3
"No",44,"Sales Executive","Sales",1,2,4,"Yes",5,2,3,3,"Female",3,2,9,"Marketing",68,4
"No",35,"Healthcare Representative","Research & Development",1,3,4,"Yes",2,3,2,3,"Male",0,3,10,"Medical",70,3
"No",26,"Sales Executive","Sales",4,2,2,"Yes",3,3,2,3,"Female",2,2,5,"Marketing",72,3
"No",33,"Research Director","Research & Development",4,3,15,"Yes",2,1,3,3,"Female",14,3,15,"Life Sciences",73,3
"No",35,"Sales Executive","Sales",1,2,9,"No",5,2,3,4,"Male",8,3,9,"Life Sciences",74,4
"No",35,"Laboratory Technician","Research & Development",1,3,2,"Yes",4,3,3,3,"Female",2,1,4,"Medical",75,3
"No",31,"Laboratory Technician","Research & Development",4,2,7,"No",4,4,3,4,"Male",7,2,10,"Life Sciences",76,4
"No",37,"Manufacturing Director","Research & Development",3,4,7,"No",4,1,2,3,"Male",5,2,7,"Life Sciences",77,3
"No",32,"Manufacturing Director","Research & Development",4,3,9,"Yes",3,1,3,2,"Male",8,2,9,"Medical",78,4
"No",38,"Laboratory Technician","Research & Development",4,3,10,"No",5,4,3,4,"Female",3,2,10,"Life Sciences",79,3
"No",50,"Research Director","Research & Development",3,2,27,"Yes",2,2,2,4,"Female",3,5,29,"Medical",80,3
"No",59,"Sales Executive","Sales",1,2,21,"No",3,1,3,4,"Female",16,3,28,"Life Sciences",81,3
"No",36,"Healthcare Representative","Research & Development",3,3,17,"No",3,3,3,2,"Female",14,3,17,"Technical Degree",83,3
"No",55,"Manager","Research & Development",3,3,5,"Yes",3,4,3,3,"Female",0,4,21,"Medical",84,3
"No",36,"Manufacturing Director","Research & Development",2,3,6,"No",3,2,2,3,"Male",5,2,6,"Life Sciences",85,3
"No",45,"Research Scientist","Research & Development",1,3,1,"No",3,2,3,3,"Male",0,3,25,"Life Sciences",86,3
"No",35,"Research Scientist","Research & Development",1,2,3,"No",3,2,3,4,"Male",2,1,5,"Medical",88,3
"Yes",36,"Research Scientist","Research & Development",3,2,1,"Yes",3,4,2,1,"Male",0,1,2,"Medical",90,3
"No",59,"Sales Executive","Sales",3,2,4,"No",1,1,2,4,"Female",3,2,20,"Life Sciences",91,3
"No",29,"Research Scientist","Research & Development",2,3,5,"No",3,3,3,4,"Male",4,1,6,"Life Sciences",94,4
"No",31,"Research Scientist","Research & Development",2,3,1,"No",4,3,3,2,"Male",1,1,1,"Medical",95,3
"No",32,"Research Scientist","Research & Development",2,3,10,"No",3,2,3,2,"Male",4,2,10,"Life Sciences",96,3
"No",36,"Laboratory Technician","Research & Development",4,3,1,"No",3,2,4,2,"Female",0,1,5,"Life Sciences",97,3
"No",31,"Manufacturing Director","Research & Development",4,3,11,"No",4,3,3,4,"Female",7,2,11,"Life Sciences",98,4
"No",35,"Sales Executive","Sales",1,3,15,"No",4,3,2,2,"Male",13,2,16,"Marketing",100,3
"No",45,"Research Director","Research & Development",1,4,0,"Yes",4,4,3,2,"Male",0,3,17,"Other",101,3
"No",37,"Research Director","Research & Development",3,4,5,"No",4,1,3,1,"Male",2,3,16,"Medical",102,3
"No",46,"Human Resources","Human Resources",2,3,4,"Yes",2,2,3,4,"Male",2,2,16,"Medical",103,4
"No",30,"Laboratory Technician","Research & Development",4,2,10,"Yes",1,4,2,3,"Male",8,2,10,"Life Sciences",104,3
"No",35,"Research Scientist","Research & Development",3,3,6,"No",3,2,2,1,"Male",4,1,6,"Medical",105,3
"No",55,"Sales Executive","Sales",4,3,1,"No",2,1,3,4,"Male",0,3,24,"Life Sciences",106,3
"No",38,"Research Scientist","Research & Development",4,3,13,"Yes",3,2,1,4,"Female",11,2,17,"Medical",107,3
"No",34,"Manufacturing Director","Research & Development",2,3,5,"No",2,1,3,3,"Male",2,2,5,"Medical",110,3
"No",56,"Manufacturing Director","Research & Development",4,2,6,"No",3,4,1,1,"Male",4,3,37,"Life Sciences",112,3
"No",23,"Sales Representative","Sales",1,3,0,"No",1,3,3,3,"Male",0,1,3,"Technical Degree",113,3
"No",51,"Laboratory Technician","Research & Development",4,3,4,"No",4,4,3,2,"Male",2,1,10,"Life Sciences",116,4
"No",30,"Healthcare Representative","Research & Development",4,3,11,"No",3,3,2,1,"Male",10,2,11,"Life Sciences",117,3
"Yes",46,"Sales Executive","Sales",4,3,9,"No",2,3,2,4,"Male",8,3,9,"Medical",118,3
"No",40,"Healthcare Representative","Research & Development",2,2,22,"No",4,3,2,4,"Male",3,4,22,"Life Sciences",119,4
"No",51,"Sales Executive","Sales",4,1,10,"Yes",4,3,3,4,"Male",7,2,11,"Marketing",120,4
"No",30,"Sales Executive","Sales",2,2,11,"Yes",2,3,2,2,"Female",8,2,11,"Medical",121,3
"No",46,"Healthcare Representative","Research & Development",1,2,10,"Yes",3,3,2,3,"Male",9,3,21,"Medical",124,3
"No",32,"Sales Executive","Sales",3,3,11,"No",4,2,3,1,"Male",8,2,12,"Medical",125,3
"No",54,"Research Director","Research & Development",3,1,4,"No",4,1,3,1,"Female",3,3,16,"Technical Degree",126,3
"No",24,"Sales Executive","Sales",3,2,3,"No",2,1,3,1,"Female",2,2,4,"Other",128,4
"No",28,"Sales Executive","Sales",3,4,5,"No",3,2,3,2,"Male",4,2,5,"Medical",129,3
"No",58,"Sales Executive","Sales",3,2,37,"No",4,4,3,3,"Male",10,4,38,"Medical",131,3
"No",44,"Laboratory Technician","Research & Development",2,4,3,"No",3,2,3,3,"Male",2,2,17,"Medical",132,3
"Yes",37,"Human Resources","Human Resources",1,3,3,"Yes",4,3,3,4,"Male",2,1,7,"Human Resources",133,4
"No",32,"Research Scientist","Research & Development",1,3,1,"No",1,4,3,4,"Male",0,1,1,"Life Sciences",134,3
"Yes",20,"Laboratory Technician","Research & Development",4,3,1,"Yes",3,4,2,2,"Female",0,1,1,"Life Sciences",137,3
"No",34,"Research Scientist","Research & Development",3,3,16,"No",4,1,3,3,"Female",13,2,16,"Other",138,3
"No",37,"Healthcare Representative","Research & Development",4,4,1,"No",2,3,2,4,"Male",0,2,17,"Life Sciences",139,3
"No",59,"Manager","Human Resources",4,3,3,"No",4,3,2,4,"Female",2,5,30,"Human Resources",140,4
"No",50,"Research Director","Research & Development",2,2,8,"Yes",3,1,3,1,"Female",3,5,28,"Life Sciences",141,3
"Yes",25,"Sales Executive","Sales",3,3,6,"Yes",3,3,2,4,"Male",4,2,6,"Marketing",142,3
"No",25,"Research Scientist","Research & Development",4,3,2,"No",1,4,2,3,"Male",2,1,2,"Medical",143,3
"No",22,"Laboratory Technician","Research & Development",4,3,0,"No",3,2,3,3,"Female",0,1,1,"Medical",144,3
"No",51,"Healthcare Representative","Research & Development",1,2,13,"No",4,1,2,3,"Female",12,3,23,"Medical",145,4
"Yes",34,"Laboratory Technician","Research & Development",3,3,9,"Yes",3,1,1,4,"Male",7,2,9,"Life Sciences",147,4
"No",54,"Manager","Human Resources",4,3,5,"Yes",3,4,4,3,"Female",3,4,23,"Human Resources",148,3
"No",24,"Laboratory Technician","Research & Development",3,3,5,"No",1,2,3,3,"Male",3,1,6,"Life Sciences",150,3
"No",34,"Research Scientist","Research & Development",2,3,1,"No",4,3,2,3,"Female",0,2,12,"Life Sciences",151,3
"No",37,"Sales Executive","Sales",4,3,5,"No",3,3,3,1,"Male",3,3,12,"Life Sciences",152,3
"No",34,"Manager","Research & Development",1,3,11,"No",3,3,2,4,"Female",10,3,14,"Medical",153,3
"No",36,"Sales Executive","Sales",4,3,9,"No",2,2,3,3,"Female",7,3,10,"Technical Degree",154,3
"No",36,"Laboratory Technician","Research & Development",4,3,1,"No",2,1,3,1,"Female",0,1,7,"Life Sciences",155,4
"No",43,"Manager","Sales",4,4,25,"Yes",2,3,3,4,"Male",12,4,25,"Life Sciences",158,3
"No",30,"Research Scientist","Research & Development",3,2,10,"No",3,1,1,3,"Male",7,1,10,"Life Sciences",159,4
"No",33,"Sales Executive","Sales",2,4,7,"No",2,3,3,1,"Male",7,2,8,"Marketing",160,3
"Yes",56,"Research Scientist","Research & Development",2,3,5,"Yes",4,2,3,1,"Female",4,1,7,"Life Sciences",161,3
"No",51,"Research Director","Research & Development",3,3,20,"No",3,1,3,3,"Male",18,5,23,"Life Sciences",162,3
"Yes",31,"Sales Executive","Sales",3,2,7,"Yes",4,2,1,2,"Male",7,2,12,"Life Sciences",163,3
"No",26,"Research Scientist","Research & Development",2,2,5,"No",3,3,2,3,"Female",4,1,5,"Other",164,3
"Yes",58,"Healthcare Representative","Research & Development",4,2,40,"No",4,4,3,4,"Female",10,3,40,"Medical",165,3
"Yes",19,"Sales Representative","Sales",3,2,0,"Yes",1,4,3,4,"Male",0,1,0,"Marketing",167,3
"No",22,"Laboratory Technician","Research & Development",4,3,2,"No",1,3,3,3,"Male",1,1,3,"Technical Degree",169,3
"No",49,"Manufacturing Director","Research & Development",1,2,15,"No",4,3,3,3,"Female",11,2,16,"Medical",170,3
"No",43,"Research Scientist","Research & Development",3,3,3,"No",3,2,4,4,"Female",2,1,18,"Medical",171,3
"No",50,"Sales Executive","Sales",4,3,2,"No",3,3,3,4,"Female",2,3,16,"Marketing",174,3
"Yes",31,"Sales Executive","Sales",3,3,2,"Yes",3,2,1,3,"Female",2,2,4,"Life Sciences",175,3
"No",41,"Sales Executive","Sales",3,3,9,"Yes",1,3,3,3,"Male",7,3,12,"Life Sciences",176,3
"No",26,"Human Resources","Human Resources",3,3,8,"No",1,3,3,4,"Female",7,1,8,"Life Sciences",177,4
"No",36,"Manufacturing Director","Research & Development",2,3,3,"No",2,2,3,4,"Male",2,2,7,"Medical",178,4
"Yes",51,"Manufacturing Director","Research & Development",4,3,4,"No",4,1,1,4,"Male",2,3,18,"Life Sciences",179,3
"No",39,"Sales Executive","Sales",3,4,15,"No",4,4,2,3,"Female",11,2,17,"Life Sciences",182,3
"No",25,"Sales Executive","Sales",3,3,2,"No",3,1,2,4,"Male",2,2,6,"Life Sciences",183,3
"No",30,"Human Resources","Human Resources",4,1,11,"Yes",3,3,3,4,"Male",9,2,12,"Human Resources",184,3
"Yes",32,"Laboratory Technician","Research & Development",1,4,5,"No",3,1,3,1,"Female",4,1,10,"Medical",190,4
"No",45,"Research Scientist","Research & Development",4,2,6,"No",3,3,3,2,"Male",5,1,9,"Medical",192,3
"No",38,"Research Scientist","Research & Development",3,3,3,"Yes",5,4,3,2,"Female",2,2,19,"Technical Degree",193,4
"No",30,"Research Scientist","Research & Development",3,2,5,"No",3,1,3,3,"Female",4,1,5,"Life Sciences",194,3
"No",32,"Sales Executive","Sales",4,4,8,"No",2,4,1,4,"Male",7,2,9,"Medical",195,3
"No",30,"Research Scientist","Research & Development",1,3,3,"No",3,4,3,4,"Female",2,1,8,"Technical Degree",197,3
"No",30,"Laboratory Technician","Research & Development",4,3,5,"No",1,2,2,4,"Male",3,1,6,"Medical",198,3
"No",41,"Manager","Research & Development",1,2,7,"No",3,4,2,2,"Male",6,4,21,"Life Sciences",199,3
"No",41,"Laboratory Technician","Research & Development",1,3,5,"No",4,3,3,4,"Male",0,1,7,"Life Sciences",200,4
"No",19,"Laboratory Technician","Research & Development",2,3,1,"No",1,2,3,4,"Female",0,1,1,"Medical",201,3
"No",40,"Research Scientist","Research & Development",2,3,20,"No",3,2,3,1,"Female",7,2,20,"Medical",202,3
"No",35,"Sales Executive","Sales",2,3,10,"No",5,3,3,1,"Male",8,3,10,"Marketing",204,3
"No",53,"Sales Representative","Sales",3,1,7,"Yes",2,2,3,4,"Male",7,2,13,"Marketing",205,4
"No",45,"Laboratory Technician","Research & Development",2,1,17,"No",3,2,3,3,"Male",9,2,20,"Life Sciences",206,3
"No",32,"Sales Executive","Sales",4,3,9,"No",3,2,3,4,"Female",8,3,9,"Marketing",207,3
"No",29,"Manufacturing Director","Research & Development",3,3,10,"No",1,4,3,1,"Male",7,2,10,"Technical Degree",208,3
"No",51,"Manufacturing Director","Research & Development",3,3,1,"No",4,2,2,3,"Male",0,2,10,"Medical",211,3
"No",58,"Research Scientist","Research & Development",2,2,1,"Yes",3,2,2,2,"Female",0,1,9,"Medical",214,4
"No",40,"Sales Executive","Sales",4,2,12,"No",4,3,2,1,"Male",11,3,15,"Marketing",215,3
"No",34,"Sales Representative","Sales",3,3,4,"No",4,3,3,4,"Female",3,1,6,"Marketing",216,3
"No",22,"Research Scientist","Research & Development",4,3,2,"No",1,3,3,1,"Male",2,1,2,"Medical",217,4
"No",27,"Research Scientist","Research & Development",2,1,2,"No",3,4,3,4,"Male",2,1,6,"Medical",218,3
"No",28,"Research Scientist","Research & Development",4,1,5,"No",3,3,3,3,"Male",2,1,5,"Medical",221,3
"No",57,"Healthcare Representative","Research & Development",4,1,5,"Yes",2,3,4,2,"Male",3,3,12,"Life Sciences",223,3
"No",27,"Research Scientist","Research & Development",3,2,1,"Yes",3,3,2,4,"Male",1,1,1,"Medical",224,3
"No",50,"Manager","Research & Development",2,3,5,"No",3,3,3,2,"Female",4,5,21,"Life Sciences",226,3
"No",41,"Research Scientist","Research & Development",3,3,9,"No",3,1,3,1,"Male",8,1,13,"Life Sciences",227,3
"No",30,"Sales Executive","Sales",4,3,10,"No",3,2,3,3,"Female",9,3,12,"Life Sciences",228,3
"No",38,"Sales Executive","Sales",4,4,8,"No",4,1,2,3,"Female",3,2,12,"Life Sciences",230,4
"No",32,"Research Scientist","Research & Development",3,3,5,"No",5,3,3,1,"Male",4,1,8,"Life Sciences",231,4
"No",27,"Research Scientist","Research & Development",2,2,5,"Yes",3,3,3,4,"Male",2,1,6,"Technical Degree",233,3
"Yes",19,"Sales Representative","Sales",1,4,0,"No",1,3,1,1,"Female",0,1,1,"Technical Degree",235,4
"No",36,"Laboratory Technician","Research & Development",2,2,8,"No",2,4,3,3,"Male",7,1,13,"Medical",238,3
"No",30,"Laboratory Technician","Research & Development",1,3,12,"No",3,3,3,3,"Male",9,2,12,"Medical",239,3
"No",45,"Sales Executive","Sales",1,4,5,"Yes",2,3,3,1,"Female",4,2,9,"Life Sciences",240,3
"No",56,"Research Scientist","Research & Development",1,3,2,"Yes",3,3,3,3,"Female",2,1,19,"Life Sciences",241,3
"No",33,"Research Scientist","Research & Development",4,4,3,"No",3,3,3,1,"Male",1,1,4,"Life Sciences",242,3
"Yes",19,"Laboratory Technician","Research & Development",4,2,1,"No",3,2,2,3,"Male",0,1,1,"Life Sciences",243,4
"No",46,"Sales Executive","Sales",1,3,24,"No",2,2,3,3,"Female",13,3,24,"Marketing",244,4
"No",38,"Laboratory Technician","Research & Development",4,3,2,"No",2,3,3,3,"Female",2,1,2,"Life Sciences",245,3
"No",31,"Research Scientist","Research & Development",4,3,4,"Yes",1,3,3,3,"Female",2,1,7,"Medical",246,4
"No",34,"Research Scientist","Research & Development",2,3,3,"No",2,4,3,4,"Female",2,1,9,"Medical",247,3
"Yes",41,"Sales Representative","Sales",2,2,4,"Yes",2,2,3,4,"Female",3,1,4,"Marketing",248,4
"No",50,"Laboratory Technician","Research & Development",3,2,3,"No",3,3,2,4,"Male",2,1,5,"Medical",249,3
"No",53,"Manufacturing Director","Research & Development",1,3,4,"No",2,4,4,3,"Female",2,2,5,"Medical",250,3
"No",33,"Research Scientist","Research & Development",2,3,8,"No",3,4,3,4,"Female",7,1,8,"Medical",252,3
"No",40,"Manager","Research & Development",3,3,20,"No",1,4,3,2,"Female",8,5,21,"Medical",253,3
"No",55,"Research Director","Research & Development",2,3,24,"No",4,3,4,4,"Male",15,5,36,"Medical",254,3
"No",34,"Manufacturing Director","Research & Development",3,2,10,"No",1,4,2,3,"Male",9,2,10,"Life Sciences",256,3
"No",51,"Healthcare Representative","Research & Development",2,3,7,"No",3,4,3,3,"Female",7,4,21,"Medical",258,3
"No",52,"Manager","Research & Development",3,3,33,"No",4,3,2,1,"Male",18,5,34,"Life Sciences",259,3
"No",27,"Research Scientist","Research & Development",2,2,7,"No",3,4,3,4,"Female",7,1,7,"Medical",260,3
"Yes",35,"Manufacturing Director","Research & Development",3,3,1,"Yes",2,2,2,1,"Male",0,2,8,"Life Sciences",261,3
"No",43,"Research Scientist","Research & Development",4,4,5,"No",3,4,4,4,"Male",4,1,7,"Medical",262,3
"No",45,"Manager","Research & Development",4,3,20,"No",2,1,2,4,"Male",8,4,22,"Medical",264,4
"No",37,"Research Scientist","Research & Development",1,2,8,"Yes",3,2,4,1,"Male",7,1,8,"Life Sciences",267,3
"No",35,"Laboratory Technician","Research & Development",2,3,6,"No",3,2,3,4,"Female",2,2,10,"Medical",269,3
"No",42,"Manufacturing Director","Research & Development",3,3,5,"No",2,3,3,2,"Female",3,2,11,"Medical",270,3
"No",38,"Manufacturing Director","Research & Development",3,3,1,"No",4,4,3,2,"Male",0,2,14,"Life Sciences",271,3
"No",38,"Manufacturing Director","Research & Development",4,1,7,"No",3,4,3,1,"Male",7,2,9,"Technical Degree",273,3
"No",27,"Manufacturing Director","Research & Development",1,3,2,"No",1,3,2,3,"Male",2,2,6,"Technical Degree",274,3
"No",49,"Manufacturing Director","Research & Development",4,3,7,"Yes",4,4,3,1,"Male",7,2,7,"Life Sciences",275,3
"No",34,"Research Scientist","Research & Development",3,4,5,"Yes",4,4,3,4,"Male",3,1,5,"Medical",277,3
"No",40,"Laboratory Technician","Research & Development",4,4,7,"Yes",2,3,3,3,"Male",2,2,15,"Medical",281,3
"Yes",38,"Healthcare Representative","Research & Development",1,3,1,"Yes",1,2,3,2,"Male",0,2,17,"Medical",282,3
"Yes",29,"Sales Executive","Sales",4,2,10,"No",3,2,3,4,"Female",4,3,10,"Marketing",283,4
"No",22,"Research Scientist","Research & Development",2,2,4,"Yes",3,4,4,1,"Male",2,1,4,"Life Sciences",284,3
"No",36,"Laboratory Technician","Research & Development",4,3,8,"No",1,2,3,1,"Female",1,1,8,"Medical",286,3
"No",40,"Healthcare Representative","Research & Development",4,1,3,"No",5,4,2,4,"Male",2,2,5,"Life Sciences",287,3
"No",46,"Healthcare Representative","Research & Development",1,3,4,"No",4,4,3,3,"Male",2,3,17,"Medical",288,3
"Yes",32,"Sales Executive","Sales",4,2,14,"No",4,4,1,3,"Male",8,3,14,"Medical",291,3
"No",30,"Manufacturing Director","Research & Development",3,3,11,"No",1,3,2,3,"Male",8,3,12,"Life Sciences",292,4
"No",27,"Sales Executive","Sales",3,3,7,"No",3,4,3,4,"Female",7,2,7,"Life Sciences",293,3
"No",51,"Research Director","Research & Development",2,1,10,"No",4,2,2,4,"Male",9,3,16,"Life Sciences",296,3
"Yes",30,"Research Scientist","Research & Development",1,3,5,"Yes",3,4,3,3,"Female",2,1,8,"Technical Degree",297,3
"No",41,"Manager","Sales",4,3,1,"Yes",3,4,3,3,"Female",0,3,16,"Life Sciences",298,3
"Yes",30,"Sales Executive","Sales",1,2,6,"No",4,3,2,3,"Female",3,2,9,"Marketing",299,3
"Yes",29,"Research Scientist","Research & Development",3,2,6,"No",3,3,3,4,"Male",2,1,7,"Technical Degree",300,3
"No",45,"Sales Executive","Sales",4,3,19,"No",3,4,2,4,"Female",7,3,23,"Medical",302,3
"No",54,"Sales Executive","Sales",1,3,6,"No",3,4,3,4,"Female",2,2,16,"Marketing",303,3
"No",36,"Laboratory Technician","Research & Development",2,4,13,"No",2,4,3,4,"Male",11,2,16,"Life Sciences",304,3
"No",33,"Research Scientist","Research & Development",2,3,3,"No",4,3,2,4,"Female",2,1,7,"Medical",305,4
"No",37,"Research Director","Research & Development",4,3,10,"Yes",3,2,3,3,"Male",8,3,10,"Other",306,3
"No",38,"Sales Executive","Sales",3,2,16,"No",3,1,3,3,"Male",10,3,17,"Life Sciences",307,3
"No",31,"Manufacturing Director","Research & Development",3,3,5,"No",4,3,1,4,"Male",4,2,6,"Medical",308,3
"No",59,"Research Scientist","Research & Development",4,3,1,"No",3,3,2,1,"Male",0,1,7,"Life Sciences",309,3
"No",37,"Sales Representative","Sales",4,3,9,"No",4,1,3,3,"Male",8,1,13,"Marketing",311,3
"No",29,"Sales Executive","Sales",4,3,11,"No",1,2,3,4,"Female",10,3,11,"Medical",312,3
"No",35,"Sales Executive","Sales",3,4,10,"No",3,3,3,1,"Female",7,3,10,"Marketing",314,3
"Yes",29,"Research Scientist","Research & Development",4,2,4,"Yes",1,3,2,3,"Male",3,1,4,"Medical",315,3
"No",52,"Laboratory Technician","Research & Development",4,2,2,"No",3,3,2,2,"Female",2,1,6,"Life Sciences",316,3
"No",42,"Manager","Research & Development",4,3,22,"No",2,3,3,4,"Male",17,5,22,"Technical Degree",319,3
"No",59,"Human Resources","Human Resources",3,2,2,"No",2,2,3,4,"Male",2,1,7,"Medical",321,3
"No",50,"Manager","Sales",4,2,7,"No",4,4,3,3,"Female",0,5,32,"Medical",323,3
"Yes",33,"Laboratory Technician","Research & Development",4,1,5,"Yes",3,3,3,3,"Male",4,1,8,"Medical",325,3
"No",43,"Manager","Sales",4,3,17,"Yes",3,4,3,3,"Female",13,4,22,"Marketing",327,4
"Yes",33,"Laboratory Technician","Research & Development",1,4,9,"No",2,1,3,1,"Female",7,1,13,"Life Sciences",328,4
"No",52,"Manager","Sales",3,4,33,"Yes",4,1,2,4,"Male",7,5,33,"Life Sciences",329,3
"No",32,"Sales Representative","Sales",2,3,4,"No",2,3,3,1,"Female",3,1,6,"Life Sciences",330,3
